'EPIC La.PID.wOP Log File

'Date,La.PID.wOP
08/06/2023 00:00:01.276,6.300
08/06/2023 00:00:02.284,6.300
08/06/2023 00:00:03.291,6.300
08/06/2023 00:00:04.311,6.300
08/06/2023 00:00:05.321,6.300
08/06/2023 00:00:06.329,6.300
08/06/2023 00:00:07.340,6.300
08/06/2023 00:00:08.351,6.300
08/06/2023 00:00:09.370,6.300
08/06/2023 00:00:10.390,6.300
08/06/2023 00:00:11.410,6.300
08/06/2023 00:00:12.437,6.300
08/06/2023 00:00:13.455,6.300
08/06/2023 00:00:14.473,6.300
08/06/2023 00:00:15.493,6.300
08/06/2023 00:00:16.503,6.300
08/06/2023 00:00:17.514,6.300
08/06/2023 00:00:18.551,6.300
08/06/2023 00:00:19.567,6.300
08/06/2023 00:00:20.587,6.300
08/06/2023 00:00:21.605,6.300
08/06/2023 00:00:22.614,6.300
08/06/2023 00:00:23.637,6.300
08/06/2023 00:00:24.667,6.300
08/06/2023 00:00:25.681,6.300
08/06/2023 00:00:26.690,6.300
08/06/2023 00:00:27.698,6.300
08/06/2023 00:00:28.708,6.300
08/06/2023 00:00:29.715,6.300
08/06/2023 00:00:30.727,6.300
08/06/2023 00:00:31.740,6.300
08/06/2023 00:00:32.749,6.300
08/06/2023 00:00:33.759,6.300
08/06/2023 00:00:34.780,6.300
08/06/2023 00:00:35.788,6.300
08/06/2023 00:00:36.808,6.300
08/06/2023 00:00:37.828,6.300
08/06/2023 00:00:38.834,6.300
08/06/2023 00:00:39.842,6.300
08/06/2023 00:00:40.855,6.300
08/06/2023 00:00:41.872,6.300
08/06/2023 00:00:42.892,6.300
08/06/2023 00:00:43.904,6.300
08/06/2023 00:00:44.910,6.300
08/06/2023 00:00:45.931,6.300
08/06/2023 00:00:46.949,6.300
08/06/2023 00:00:47.968,6.300
08/06/2023 00:00:48.982,6.300
08/06/2023 00:00:49.995,6.300
08/06/2023 00:00:51.028,6.300
08/06/2023 00:00:52.044,6.300
08/06/2023 00:00:53.059,6.300
08/06/2023 00:00:54.072,6.300
08/06/2023 00:00:55.084,6.300
08/06/2023 00:00:56.098,6.300
08/06/2023 00:00:57.105,6.300
08/06/2023 00:00:58.113,6.300
08/06/2023 00:00:59.121,6.300
08/06/2023 00:01:00.143,6.300
08/06/2023 00:01:01.156,6.300
08/06/2023 00:01:02.184,6.300
08/06/2023 00:01:03.197,6.300
08/06/2023 00:01:04.208,6.300
08/06/2023 00:01:05.219,6.300
08/06/2023 00:01:06.229,6.300
08/06/2023 00:01:07.238,6.300
08/06/2023 00:01:08.257,6.300
08/06/2023 00:01:09.275,6.300
08/06/2023 00:01:10.286,6.300
08/06/2023 00:01:11.292,6.300
08/06/2023 00:01:12.303,6.300
08/06/2023 00:01:13.323,6.300
08/06/2023 00:01:14.331,6.300
08/06/2023 00:01:15.349,6.300
08/06/2023 00:01:16.358,6.300
08/06/2023 00:01:17.382,6.300
08/06/2023 00:01:18.401,6.300
08/06/2023 00:01:19.409,6.300
08/06/2023 00:01:20.419,6.300
08/06/2023 00:01:21.428,6.300
08/06/2023 00:01:22.441,6.300
08/06/2023 00:01:23.453,6.300
08/06/2023 00:01:24.460,6.300
08/06/2023 00:01:25.469,6.300
08/06/2023 00:01:26.481,6.300
08/06/2023 00:01:27.495,6.300
08/06/2023 00:01:28.514,6.300
08/06/2023 00:01:29.532,6.300
08/06/2023 00:01:30.557,6.300
08/06/2023 00:01:31.574,6.300
08/06/2023 00:01:32.581,6.300
08/06/2023 00:01:33.592,6.300
08/06/2023 00:01:34.599,6.300
08/06/2023 00:01:35.607,6.300
08/06/2023 00:01:36.617,6.300
08/06/2023 00:01:37.625,6.300
08/06/2023 00:01:38.644,6.300
08/06/2023 00:01:39.652,6.300
08/06/2023 00:01:40.662,6.300
08/06/2023 00:01:41.678,6.300
08/06/2023 00:01:42.687,6.300
08/06/2023 00:01:43.709,6.300
08/06/2023 00:01:44.734,6.300
08/06/2023 00:01:45.750,6.300
08/06/2023 00:01:46.772,6.300
08/06/2023 00:01:47.792,6.300
08/06/2023 00:01:48.803,6.300
08/06/2023 00:01:49.810,6.300
08/06/2023 00:01:50.828,6.300
08/06/2023 00:01:51.838,6.300
08/06/2023 00:01:52.860,6.300
08/06/2023 00:01:53.873,6.300
08/06/2023 00:01:54.881,6.300
08/06/2023 00:01:55.890,6.300
08/06/2023 00:01:56.899,6.300
08/06/2023 00:01:57.912,6.300
08/06/2023 00:01:58.921,6.300
08/06/2023 00:01:59.928,6.300
08/06/2023 00:02:00.941,6.300
08/06/2023 00:02:01.954,6.300
08/06/2023 00:02:02.966,6.300
08/06/2023 00:02:03.974,6.300
08/06/2023 00:02:04.984,6.300
08/06/2023 00:02:05.993,6.300
08/06/2023 00:02:07.005,6.300
08/06/2023 00:02:08.014,6.300
08/06/2023 00:02:09.023,6.300
08/06/2023 00:02:10.058,6.300
08/06/2023 00:02:11.070,6.300
08/06/2023 00:02:12.080,6.300
08/06/2023 00:02:13.088,6.300
08/06/2023 00:02:14.098,6.300
08/06/2023 00:02:15.123,6.300
08/06/2023 00:02:16.131,6.300
08/06/2023 00:02:17.140,6.300
08/06/2023 00:02:18.151,6.300
08/06/2023 00:02:19.158,6.300
08/06/2023 00:02:20.168,6.300
08/06/2023 00:02:21.189,6.300
08/06/2023 00:02:22.202,6.300
08/06/2023 00:02:23.221,6.300
08/06/2023 00:02:24.239,6.300
08/06/2023 00:02:25.261,6.300
08/06/2023 00:02:26.269,6.300
08/06/2023 00:02:27.288,6.300
08/06/2023 00:02:28.302,6.300
08/06/2023 00:02:29.323,6.300
08/06/2023 00:02:30.334,6.300
08/06/2023 00:02:31.343,6.300
08/06/2023 00:02:32.351,6.300
08/06/2023 00:02:33.372,6.300
08/06/2023 00:02:34.382,6.300
08/06/2023 00:02:35.393,6.300
08/06/2023 00:02:36.401,6.300
08/06/2023 00:02:37.409,6.300
08/06/2023 00:02:38.415,6.300
08/06/2023 00:02:39.427,6.300
08/06/2023 00:02:40.435,6.300
08/06/2023 00:02:41.460,6.300
08/06/2023 00:02:42.482,6.300
08/06/2023 00:02:43.502,6.300
08/06/2023 00:02:44.510,6.300
08/06/2023 00:02:45.517,6.300
08/06/2023 00:02:46.535,6.300
08/06/2023 00:02:47.557,6.300
08/06/2023 00:02:48.566,6.300
08/06/2023 00:02:49.576,6.300
08/06/2023 00:02:50.582,6.300
08/06/2023 00:02:51.595,6.300
08/06/2023 00:02:52.609,6.300
08/06/2023 00:02:53.632,6.300
08/06/2023 00:02:54.641,6.300
08/06/2023 00:02:55.651,6.300
08/06/2023 00:02:56.674,6.300
08/06/2023 00:02:57.683,6.300
08/06/2023 00:02:58.694,6.300
08/06/2023 00:02:59.716,6.300
08/06/2023 00:03:00.723,6.300
08/06/2023 00:03:01.747,6.300
08/06/2023 00:03:02.766,6.300
08/06/2023 00:03:03.776,6.300
08/06/2023 00:03:04.796,6.300
08/06/2023 00:03:05.807,6.300
08/06/2023 00:03:06.818,6.300
08/06/2023 00:03:07.829,6.300
08/06/2023 00:03:08.849,6.300
08/06/2023 00:03:09.873,6.300
08/06/2023 00:03:10.896,6.300
08/06/2023 00:03:11.908,6.300
08/06/2023 00:03:12.925,6.300
08/06/2023 00:03:13.938,6.300
08/06/2023 00:03:14.949,6.300
08/06/2023 00:03:15.972,6.300
08/06/2023 00:03:16.985,6.300
08/06/2023 00:03:18.005,6.300
08/06/2023 00:03:19.022,6.300
08/06/2023 00:03:20.045,6.300
08/06/2023 00:03:21.068,6.300
08/06/2023 00:03:22.083,6.300
08/06/2023 00:03:23.092,6.300
08/06/2023 00:03:24.115,6.300
08/06/2023 00:03:25.126,6.300
