'EPIC QMB.PID.wOP Log File

'Date,QMB.PID.wOP
08/06/2023 00:00:01.276,0.0
08/06/2023 00:00:02.283,0.0
08/06/2023 00:00:03.291,0.0
08/06/2023 00:00:04.310,0.0
08/06/2023 00:00:05.320,0.0
08/06/2023 00:00:06.329,0.0
08/06/2023 00:00:07.339,0.0
08/06/2023 00:00:08.351,0.0
08/06/2023 00:00:09.370,0.0
08/06/2023 00:00:10.389,0.0
08/06/2023 00:00:11.409,0.0
08/06/2023 00:00:12.437,0.0
08/06/2023 00:00:13.454,0.0
08/06/2023 00:00:14.472,0.0
08/06/2023 00:00:15.493,0.0
08/06/2023 00:00:16.502,0.0
08/06/2023 00:00:17.514,0.0
08/06/2023 00:00:18.551,0.0
08/06/2023 00:00:19.567,0.0
08/06/2023 00:00:20.586,0.0
08/06/2023 00:00:21.605,0.0
08/06/2023 00:00:22.614,0.0
08/06/2023 00:00:23.637,0.0
08/06/2023 00:00:24.666,0.0
08/06/2023 00:00:25.681,0.0
08/06/2023 00:00:26.690,0.0
08/06/2023 00:00:27.698,0.0
08/06/2023 00:00:28.707,0.0
08/06/2023 00:00:29.715,0.0
08/06/2023 00:00:30.726,0.0
08/06/2023 00:00:31.739,0.0
08/06/2023 00:00:32.748,0.0
08/06/2023 00:00:33.758,0.0
08/06/2023 00:00:34.780,0.0
08/06/2023 00:00:35.787,0.0
08/06/2023 00:00:36.808,0.0
08/06/2023 00:00:37.827,0.0
08/06/2023 00:00:38.833,0.0
08/06/2023 00:00:39.841,0.0
08/06/2023 00:00:40.854,0.0
08/06/2023 00:00:41.871,0.0
08/06/2023 00:00:42.891,0.0
08/06/2023 00:00:43.903,0.0
08/06/2023 00:00:44.909,0.0
08/06/2023 00:00:45.930,0.0
08/06/2023 00:00:46.948,0.0
08/06/2023 00:00:47.968,0.0
08/06/2023 00:00:48.981,0.0
08/06/2023 00:00:49.994,0.0
08/06/2023 00:00:51.027,0.0
08/06/2023 00:00:52.043,0.0
08/06/2023 00:00:53.059,0.0
08/06/2023 00:00:54.072,0.0
08/06/2023 00:00:55.084,0.0
08/06/2023 00:00:56.097,0.0
08/06/2023 00:00:57.105,0.0
08/06/2023 00:00:58.112,0.0
08/06/2023 00:00:59.120,0.0
08/06/2023 00:01:00.142,0.0
08/06/2023 00:01:01.156,0.0
08/06/2023 00:01:02.184,0.0
08/06/2023 00:01:03.197,0.0
08/06/2023 00:01:04.208,0.0
08/06/2023 00:01:05.219,0.0
08/06/2023 00:01:06.229,0.0
08/06/2023 00:01:07.237,0.0
08/06/2023 00:01:08.257,0.0
08/06/2023 00:01:09.274,0.0
08/06/2023 00:01:10.285,0.0
08/06/2023 00:01:11.291,0.0
08/06/2023 00:01:12.302,0.0
08/06/2023 00:01:13.322,0.0
08/06/2023 00:01:14.330,0.0
08/06/2023 00:01:15.349,0.0
08/06/2023 00:01:16.358,0.0
08/06/2023 00:01:17.382,0.0
08/06/2023 00:01:18.400,0.0
08/06/2023 00:01:19.408,0.0
08/06/2023 00:01:20.419,0.0
08/06/2023 00:01:21.428,0.0
08/06/2023 00:01:22.441,0.0
08/06/2023 00:01:23.452,0.0
08/06/2023 00:01:24.459,0.0
08/06/2023 00:01:25.469,0.0
08/06/2023 00:01:26.480,0.0
08/06/2023 00:01:27.495,0.0
08/06/2023 00:01:28.513,0.0
08/06/2023 00:01:29.531,0.0
08/06/2023 00:01:30.557,0.0
08/06/2023 00:01:31.573,0.0
08/06/2023 00:01:32.581,0.0
08/06/2023 00:01:33.591,0.0
08/06/2023 00:01:34.598,0.0
08/06/2023 00:01:35.606,0.0
08/06/2023 00:01:36.616,0.0
08/06/2023 00:01:37.624,0.0
08/06/2023 00:01:38.644,0.0
08/06/2023 00:01:39.651,0.0
08/06/2023 00:01:40.662,0.0
08/06/2023 00:01:41.678,0.0
08/06/2023 00:01:42.687,0.0
08/06/2023 00:01:43.708,0.0
08/06/2023 00:01:44.733,0.0
08/06/2023 00:01:45.750,0.0
08/06/2023 00:01:46.772,0.0
08/06/2023 00:01:47.792,0.0
08/06/2023 00:01:48.802,0.0
08/06/2023 00:01:49.809,0.0
08/06/2023 00:01:50.827,0.0
08/06/2023 00:01:51.837,0.0
08/06/2023 00:01:52.860,0.0
08/06/2023 00:01:53.872,0.0
08/06/2023 00:01:54.881,0.0
08/06/2023 00:01:55.890,0.0
08/06/2023 00:01:56.898,0.0
08/06/2023 00:01:57.912,0.0
08/06/2023 00:01:58.920,0.0
08/06/2023 00:01:59.928,0.0
08/06/2023 00:02:00.941,0.0
08/06/2023 00:02:01.954,0.0
08/06/2023 00:02:02.965,0.0
08/06/2023 00:02:03.974,0.0
08/06/2023 00:02:04.984,0.0
08/06/2023 00:02:05.992,0.0
08/06/2023 00:02:07.005,0.0
08/06/2023 00:02:08.014,0.0
08/06/2023 00:02:09.023,0.0
08/06/2023 00:02:10.058,0.0
08/06/2023 00:02:11.069,0.0
08/06/2023 00:02:12.080,0.0
08/06/2023 00:02:13.088,0.0
08/06/2023 00:02:14.097,0.0
08/06/2023 00:02:15.122,0.0
08/06/2023 00:02:16.131,0.0
08/06/2023 00:02:17.140,0.0
08/06/2023 00:02:18.151,0.0
