'EPIC GeOHL.PID.wOP Log File

'Date,GeOHL.PID.wOP
08/06/2023 00:00:01.275,2.300
08/06/2023 00:00:02.283,2.300
08/06/2023 00:00:03.290,2.300
08/06/2023 00:00:04.310,2.300
08/06/2023 00:00:05.320,2.300
08/06/2023 00:00:06.328,2.300
08/06/2023 00:00:07.339,2.300
08/06/2023 00:00:08.350,2.300
08/06/2023 00:00:09.369,2.300
08/06/2023 00:00:10.389,2.300
08/06/2023 00:00:11.406,2.300
08/06/2023 00:00:12.434,2.300
08/06/2023 00:00:13.454,2.300
08/06/2023 00:00:14.472,2.300
08/06/2023 00:00:15.493,2.300
08/06/2023 00:00:16.502,2.300
08/06/2023 00:00:17.514,2.300
08/06/2023 00:00:18.550,2.300
08/06/2023 00:00:19.566,2.300
08/06/2023 00:00:20.586,2.300
08/06/2023 00:00:21.604,2.300
08/06/2023 00:00:22.613,2.300
08/06/2023 00:00:23.636,2.300
08/06/2023 00:00:24.666,2.300
08/06/2023 00:00:25.680,2.300
08/06/2023 00:00:26.690,2.300
08/06/2023 00:00:27.697,2.300
08/06/2023 00:00:28.707,2.300
08/06/2023 00:00:29.715,2.300
08/06/2023 00:00:30.726,2.300
08/06/2023 00:00:31.739,2.300
08/06/2023 00:00:32.748,2.300
08/06/2023 00:00:33.758,2.300
08/06/2023 00:00:34.779,2.300
08/06/2023 00:00:35.787,2.300
08/06/2023 00:00:36.807,2.300
08/06/2023 00:00:37.827,2.300
08/06/2023 00:00:38.833,2.300
08/06/2023 00:00:39.841,2.300
08/06/2023 00:00:40.854,2.300
08/06/2023 00:00:41.871,2.300
08/06/2023 00:00:42.891,2.300
08/06/2023 00:00:43.903,2.300
08/06/2023 00:00:44.909,2.300
08/06/2023 00:00:45.930,2.300
08/06/2023 00:00:46.948,2.300
08/06/2023 00:00:47.967,2.300
08/06/2023 00:00:48.981,2.300
08/06/2023 00:00:49.994,2.300
08/06/2023 00:00:51.027,2.300
08/06/2023 00:00:52.043,2.300
08/06/2023 00:00:53.058,2.300
08/06/2023 00:00:54.071,2.300
08/06/2023 00:00:55.083,2.300
08/06/2023 00:00:56.097,2.300
08/06/2023 00:00:57.104,2.300
08/06/2023 00:00:58.112,2.300
08/06/2023 00:00:59.120,2.300
08/06/2023 00:01:00.142,2.300
08/06/2023 00:01:01.156,2.300
08/06/2023 00:01:02.183,2.300
08/06/2023 00:01:03.196,2.300
08/06/2023 00:01:04.207,2.300
08/06/2023 00:01:05.218,2.300
