'EPIC QMB.PID.MV Log File

'Date,QMB.PID.MV
08/06/2023 00:00:01.276,24.90
08/06/2023 00:00:02.283,24.80
08/06/2023 00:00:03.291,24.80
08/06/2023 00:00:04.310,24.80
08/06/2023 00:00:05.320,24.80
08/06/2023 00:00:06.329,24.80
08/06/2023 00:00:07.339,24.80
08/06/2023 00:00:08.351,24.80
08/06/2023 00:00:09.369,24.90
08/06/2023 00:00:10.389,24.90
08/06/2023 00:00:11.409,24.90
08/06/2023 00:00:12.437,24.90
08/06/2023 00:00:13.454,24.90
08/06/2023 00:00:14.472,24.90
08/06/2023 00:00:15.493,24.90
08/06/2023 00:00:16.502,24.90
08/06/2023 00:00:17.514,24.90
08/06/2023 00:00:18.550,24.90
08/06/2023 00:00:19.567,24.90
08/06/2023 00:00:20.586,24.90
08/06/2023 00:00:21.605,24.90
08/06/2023 00:00:22.614,24.90
08/06/2023 00:00:23.636,24.90
08/06/2023 00:00:24.666,24.90
08/06/2023 00:00:25.681,24.80
08/06/2023 00:00:26.690,24.80
08/06/2023 00:00:27.698,24.90
08/06/2023 00:00:28.707,24.90
08/06/2023 00:00:29.715,24.90
08/06/2023 00:00:30.726,24.90
08/06/2023 00:00:31.739,24.90
08/06/2023 00:00:32.748,24.90
08/06/2023 00:00:33.758,24.90
08/06/2023 00:00:34.780,24.80
08/06/2023 00:00:35.787,24.90
08/06/2023 00:00:36.808,24.90
08/06/2023 00:00:37.827,24.90
08/06/2023 00:00:38.833,24.90
08/06/2023 00:00:39.841,24.90
08/06/2023 00:00:40.854,24.90
08/06/2023 00:00:41.871,24.90
08/06/2023 00:00:42.891,24.90
08/06/2023 00:00:43.903,24.90
08/06/2023 00:00:44.909,24.90
08/06/2023 00:00:45.930,24.90
08/06/2023 00:00:46.948,24.90
08/06/2023 00:00:47.967,24.90
08/06/2023 00:00:48.981,24.90
08/06/2023 00:00:49.994,24.90
08/06/2023 00:00:51.027,24.90
08/06/2023 00:00:52.043,24.90
08/06/2023 00:00:53.059,24.90
08/06/2023 00:00:54.072,24.90
08/06/2023 00:00:55.083,24.90
08/06/2023 00:00:56.097,24.90
08/06/2023 00:00:57.104,24.90
08/06/2023 00:00:58.112,24.90
08/06/2023 00:00:59.120,24.90
08/06/2023 00:01:00.142,24.90
08/06/2023 00:01:01.156,24.90
08/06/2023 00:01:02.183,24.90
08/06/2023 00:01:03.197,24.90
08/06/2023 00:01:04.208,24.90
08/06/2023 00:01:05.219,24.90
08/06/2023 00:01:06.229,24.90
08/06/2023 00:01:07.237,24.90
08/06/2023 00:01:08.257,24.90
08/06/2023 00:01:09.274,24.90
08/06/2023 00:01:10.285,24.90
08/06/2023 00:01:11.291,24.90
08/06/2023 00:01:12.302,24.90
08/06/2023 00:01:13.322,24.90
08/06/2023 00:01:14.330,24.90
08/06/2023 00:01:15.349,24.90
08/06/2023 00:01:16.358,24.90
08/06/2023 00:01:17.382,24.90
08/06/2023 00:01:18.400,24.90
08/06/2023 00:01:19.408,24.90
08/06/2023 00:01:20.419,24.90
08/06/2023 00:01:21.428,24.90
08/06/2023 00:01:22.441,24.90
08/06/2023 00:01:23.452,24.90
08/06/2023 00:01:24.459,24.90
08/06/2023 00:01:25.468,24.90
08/06/2023 00:01:26.480,24.90
08/06/2023 00:01:27.495,24.90
08/06/2023 00:01:28.513,24.90
08/06/2023 00:01:29.531,24.90
08/06/2023 00:01:30.557,24.90
08/06/2023 00:01:31.573,24.90
08/06/2023 00:01:32.581,24.90
08/06/2023 00:01:33.591,24.90
08/06/2023 00:01:34.598,24.90
08/06/2023 00:01:35.606,24.90
08/06/2023 00:01:36.616,24.90
08/06/2023 00:01:37.624,24.90
08/06/2023 00:01:38.644,24.90
08/06/2023 00:01:39.651,24.90
08/06/2023 00:01:40.662,24.90
08/06/2023 00:01:41.678,24.90
08/06/2023 00:01:42.687,24.90
08/06/2023 00:01:43.708,24.80
08/06/2023 00:01:44.733,24.90
08/06/2023 00:01:45.750,24.90
08/06/2023 00:01:46.771,24.90
08/06/2023 00:01:47.792,24.90
08/06/2023 00:01:48.802,24.90
08/06/2023 00:01:49.809,24.90
08/06/2023 00:01:50.827,24.80
08/06/2023 00:01:51.837,24.90
08/06/2023 00:01:52.860,24.90
08/06/2023 00:01:53.872,24.90
08/06/2023 00:01:54.881,24.90
08/06/2023 00:01:55.890,24.90
08/06/2023 00:01:56.898,24.90
08/06/2023 00:01:57.912,24.90
08/06/2023 00:01:58.920,24.90
08/06/2023 00:01:59.928,24.90
08/06/2023 00:02:00.941,24.90
08/06/2023 00:02:01.954,24.90
08/06/2023 00:02:02.965,24.90
08/06/2023 00:02:03.974,24.90
08/06/2023 00:02:04.984,24.90
08/06/2023 00:02:05.992,24.80
08/06/2023 00:02:07.005,24.90
08/06/2023 00:02:08.013,24.80
08/06/2023 00:02:09.023,24.80
08/06/2023 00:02:10.058,24.80
08/06/2023 00:02:11.069,24.90
08/06/2023 00:02:12.080,24.80
08/06/2023 00:02:13.088,24.80
08/06/2023 00:02:14.097,24.80
08/06/2023 00:02:15.122,24.90
08/06/2023 00:02:16.131,24.80
08/06/2023 00:02:17.140,24.80
08/06/2023 00:02:18.151,24.90
08/06/2023 00:02:19.158,24.80
08/06/2023 00:02:20.168,24.80
08/06/2023 00:02:21.189,24.80
08/06/2023 00:02:22.201,24.80
08/06/2023 00:02:23.220,24.80
08/06/2023 00:02:24.239,24.80
08/06/2023 00:02:25.260,24.80
08/06/2023 00:02:26.268,24.80
08/06/2023 00:02:27.287,24.80
08/06/2023 00:02:28.300,24.80
08/06/2023 00:02:29.322,24.80
08/06/2023 00:02:30.333,24.80
08/06/2023 00:02:31.342,24.90
08/06/2023 00:02:32.350,24.80
08/06/2023 00:02:33.372,24.80
08/06/2023 00:02:34.381,24.90
08/06/2023 00:02:35.392,24.80
08/06/2023 00:02:36.400,24.80
08/06/2023 00:02:37.409,24.80
08/06/2023 00:02:38.414,24.80
08/06/2023 00:02:39.426,24.80
08/06/2023 00:02:40.435,24.80
08/06/2023 00:02:41.459,24.90
08/06/2023 00:02:42.482,24.90
08/06/2023 00:02:43.501,24.80
08/06/2023 00:02:44.510,24.80
08/06/2023 00:02:45.516,24.80
08/06/2023 00:02:46.535,24.80
08/06/2023 00:02:47.557,24.80
08/06/2023 00:02:48.566,24.80
08/06/2023 00:02:49.575,24.80
08/06/2023 00:02:50.581,24.80
08/06/2023 00:02:51.594,24.80
08/06/2023 00:02:52.608,24.80
08/06/2023 00:02:53.631,24.80
08/06/2023 00:02:54.640,24.80
08/06/2023 00:02:55.650,24.80
08/06/2023 00:02:56.673,24.80
08/06/2023 00:02:57.682,24.90
08/06/2023 00:02:58.693,24.80
08/06/2023 00:02:59.715,24.80
08/06/2023 00:03:00.722,24.80
08/06/2023 00:03:01.746,24.80
08/06/2023 00:03:02.765,24.80
08/06/2023 00:03:03.775,24.80
08/06/2023 00:03:04.795,24.80
08/06/2023 00:03:05.805,24.80
08/06/2023 00:03:06.817,24.90
08/06/2023 00:03:07.828,24.90
08/06/2023 00:03:08.849,24.80
08/06/2023 00:03:09.872,24.80
08/06/2023 00:03:10.896,24.80
08/06/2023 00:03:11.908,24.80
08/06/2023 00:03:12.924,24.80
08/06/2023 00:03:13.938,24.80
08/06/2023 00:03:14.948,24.80
08/06/2023 00:03:15.971,24.80
08/06/2023 00:03:16.984,24.80
08/06/2023 00:03:18.004,24.80
08/06/2023 00:03:19.021,24.80
08/06/2023 00:03:20.044,24.80
08/06/2023 00:03:21.068,24.80
08/06/2023 00:03:22.082,24.80
08/06/2023 00:03:23.091,24.90
08/06/2023 00:03:24.114,24.90
08/06/2023 00:03:25.125,24.90
08/06/2023 00:03:26.146,24.80
08/06/2023 00:03:27.155,24.90
08/06/2023 00:03:28.174,24.90
08/06/2023 00:03:29.188,24.80
08/06/2023 00:03:30.210,24.90
08/06/2023 00:03:31.221,24.80
08/06/2023 00:03:32.245,24.90
08/06/2023 00:03:33.266,24.80
08/06/2023 00:03:34.278,24.90
08/06/2023 00:03:35.289,24.90
08/06/2023 00:03:36.305,24.90
08/06/2023 00:03:37.316,24.90
08/06/2023 00:03:38.341,24.90
