'EPIC La.PID.MV Log File

'Date,La.PID.MV
08/06/2023 00:00:01.276,100.0
08/06/2023 00:00:02.284,100.0
08/06/2023 00:00:03.291,100.0
08/06/2023 00:00:04.311,100.0
08/06/2023 00:00:05.321,100.0
08/06/2023 00:00:06.329,100.0
08/06/2023 00:00:07.340,100.0
08/06/2023 00:00:08.351,100.0
08/06/2023 00:00:09.370,100.0
08/06/2023 00:00:10.390,100.0
08/06/2023 00:00:11.410,100.0
08/06/2023 00:00:12.437,100.0
08/06/2023 00:00:13.455,100.0
08/06/2023 00:00:14.473,100.0
08/06/2023 00:00:15.493,100.0
08/06/2023 00:00:16.503,100.0
08/06/2023 00:00:17.514,100.0
08/06/2023 00:00:18.551,100.0
08/06/2023 00:00:19.567,100.0
08/06/2023 00:00:20.587,100.0
08/06/2023 00:00:21.605,100.0
08/06/2023 00:00:22.614,100.0
08/06/2023 00:00:23.637,100.0
08/06/2023 00:00:24.667,100.0
08/06/2023 00:00:25.681,100.0
08/06/2023 00:00:26.690,100.0
08/06/2023 00:00:27.698,100.0
08/06/2023 00:00:28.708,100.0
08/06/2023 00:00:29.715,100.0
08/06/2023 00:00:30.727,100.0
08/06/2023 00:00:31.740,100.0
08/06/2023 00:00:32.748,100.0
08/06/2023 00:00:33.759,100.0
08/06/2023 00:00:34.780,100.0
08/06/2023 00:00:35.788,100.0
08/06/2023 00:00:36.808,100.0
08/06/2023 00:00:37.828,100.0
08/06/2023 00:00:38.834,100.0
08/06/2023 00:00:39.842,100.0
08/06/2023 00:00:40.855,100.0
08/06/2023 00:00:41.872,100.0
08/06/2023 00:00:42.892,100.0
08/06/2023 00:00:43.903,100.0
08/06/2023 00:00:44.909,100.0
08/06/2023 00:00:45.930,100.0
08/06/2023 00:00:46.949,100.0
08/06/2023 00:00:47.968,100.0
08/06/2023 00:00:48.982,100.0
08/06/2023 00:00:49.994,100.0
08/06/2023 00:00:51.027,100.0
08/06/2023 00:00:52.044,100.0
08/06/2023 00:00:53.059,100.0
08/06/2023 00:00:54.072,100.0
08/06/2023 00:00:55.084,100.0
08/06/2023 00:00:56.098,100.0
08/06/2023 00:00:57.105,100.0
08/06/2023 00:00:58.113,100.0
08/06/2023 00:00:59.121,100.0
08/06/2023 00:01:00.143,100.0
08/06/2023 00:01:01.156,100.0
08/06/2023 00:01:02.184,100.0
08/06/2023 00:01:03.197,100.0
08/06/2023 00:01:04.208,100.0
08/06/2023 00:01:05.219,100.0
08/06/2023 00:01:06.229,100.0
08/06/2023 00:01:07.238,100.0
08/06/2023 00:01:08.257,100.0
08/06/2023 00:01:09.275,100.0
08/06/2023 00:01:10.286,100.0
08/06/2023 00:01:11.292,100.0
08/06/2023 00:01:12.302,100.0
08/06/2023 00:01:13.323,100.0
08/06/2023 00:01:14.331,100.0
08/06/2023 00:01:15.349,100.0
08/06/2023 00:01:16.358,100.0
08/06/2023 00:01:17.382,100.0
08/06/2023 00:01:18.401,100.0
08/06/2023 00:01:19.408,100.0
08/06/2023 00:01:20.419,100.0
08/06/2023 00:01:21.428,100.0
08/06/2023 00:01:22.441,100.0
08/06/2023 00:01:23.453,100.0
08/06/2023 00:01:24.460,100.0
08/06/2023 00:01:25.469,100.0
08/06/2023 00:01:26.481,100.0
08/06/2023 00:01:27.495,100.0
08/06/2023 00:01:28.514,100.0
08/06/2023 00:01:29.532,100.0
08/06/2023 00:01:30.557,100.0
08/06/2023 00:01:31.574,100.0
08/06/2023 00:01:32.581,100.0
08/06/2023 00:01:33.592,100.0
08/06/2023 00:01:34.599,100.0
08/06/2023 00:01:35.607,100.0
08/06/2023 00:01:36.617,100.0
08/06/2023 00:01:37.625,100.0
08/06/2023 00:01:38.644,100.0
08/06/2023 00:01:39.652,100.0
08/06/2023 00:01:40.662,100.0
08/06/2023 00:01:41.678,100.0
08/06/2023 00:01:42.687,100.0
08/06/2023 00:01:43.709,100.0
08/06/2023 00:01:44.734,100.0
08/06/2023 00:01:45.750,100.0
08/06/2023 00:01:46.772,100.0
08/06/2023 00:01:47.792,100.0
08/06/2023 00:01:48.803,100.0
08/06/2023 00:01:49.810,100.0
08/06/2023 00:01:50.828,100.0
08/06/2023 00:01:51.838,100.0
08/06/2023 00:01:52.860,100.0
08/06/2023 00:01:53.873,100.0
08/06/2023 00:01:54.881,100.0
08/06/2023 00:01:55.890,100.0
