'EPIC Ba.PID.OP Log File

'Date,Ba.PID.OP
08/06/2023 00:00:01.276,3.000
08/06/2023 00:00:02.284,3.000
08/06/2023 00:00:03.292,3.000
08/06/2023 00:00:04.311,3.000
08/06/2023 00:00:05.321,3.000
08/06/2023 00:00:06.329,3.000
08/06/2023 00:00:07.340,3.000
08/06/2023 00:00:08.351,3.000
08/06/2023 00:00:09.370,3.000
08/06/2023 00:00:10.390,3.000
08/06/2023 00:00:11.410,3.000
08/06/2023 00:00:12.438,3.000
08/06/2023 00:00:13.455,3.000
08/06/2023 00:00:14.473,3.000
08/06/2023 00:00:15.494,3.000
08/06/2023 00:00:16.503,3.000
08/06/2023 00:00:17.515,3.000
08/06/2023 00:00:18.551,3.000
08/06/2023 00:00:19.568,3.000
08/06/2023 00:00:20.587,3.000
08/06/2023 00:00:21.606,3.000
08/06/2023 00:00:22.615,3.000
08/06/2023 00:00:23.637,3.000
08/06/2023 00:00:24.667,3.000
08/06/2023 00:00:25.681,3.000
08/06/2023 00:00:26.691,3.000
08/06/2023 00:00:27.699,3.000
08/06/2023 00:00:28.708,3.000
08/06/2023 00:00:29.716,3.000
08/06/2023 00:00:30.727,3.000
08/06/2023 00:00:31.740,3.000
08/06/2023 00:00:32.749,3.000
08/06/2023 00:00:33.759,3.000
08/06/2023 00:00:34.780,3.000
08/06/2023 00:00:35.788,3.000
08/06/2023 00:00:36.808,3.000
08/06/2023 00:00:37.828,3.000
08/06/2023 00:00:38.834,3.000
08/06/2023 00:00:39.842,3.000
08/06/2023 00:00:40.855,3.000
08/06/2023 00:00:41.872,3.000
08/06/2023 00:00:42.892,3.000
08/06/2023 00:00:43.904,3.000
08/06/2023 00:00:44.910,3.000
08/06/2023 00:00:45.931,3.000
08/06/2023 00:00:46.949,3.000
08/06/2023 00:00:47.968,3.000
08/06/2023 00:00:48.982,3.000
08/06/2023 00:00:49.995,3.000
08/06/2023 00:00:51.028,3.000
08/06/2023 00:00:52.044,3.000
08/06/2023 00:00:53.059,3.000
08/06/2023 00:00:54.072,3.000
08/06/2023 00:00:55.084,3.000
08/06/2023 00:00:56.098,3.000
08/06/2023 00:00:57.105,3.000
08/06/2023 00:00:58.113,3.000
08/06/2023 00:00:59.121,3.000
08/06/2023 00:01:00.143,3.000
08/06/2023 00:01:01.157,3.000
08/06/2023 00:01:02.184,3.000
08/06/2023 00:01:03.197,3.000
08/06/2023 00:01:04.208,3.000
08/06/2023 00:01:05.219,3.000
08/06/2023 00:01:06.229,3.000
08/06/2023 00:01:07.238,3.000
08/06/2023 00:01:08.258,3.000
08/06/2023 00:01:09.275,3.000
08/06/2023 00:01:10.286,3.000
08/06/2023 00:01:11.292,3.000
08/06/2023 00:01:12.303,3.000
08/06/2023 00:01:13.323,3.000
08/06/2023 00:01:14.331,3.000
08/06/2023 00:01:15.350,3.000
08/06/2023 00:01:16.358,3.000
08/06/2023 00:01:17.382,3.000
08/06/2023 00:01:18.401,3.000
08/06/2023 00:01:19.409,3.000
08/06/2023 00:01:20.419,3.000
08/06/2023 00:01:21.428,3.000
08/06/2023 00:01:22.442,3.000
08/06/2023 00:01:23.453,3.000
08/06/2023 00:01:24.460,3.000
08/06/2023 00:01:25.469,3.000
08/06/2023 00:01:26.481,3.000
08/06/2023 00:01:27.496,3.000
08/06/2023 00:01:28.514,3.000
08/06/2023 00:01:29.532,3.000
08/06/2023 00:01:30.557,3.000
08/06/2023 00:01:31.574,3.000
08/06/2023 00:01:32.581,3.000
08/06/2023 00:01:33.592,3.000
08/06/2023 00:01:34.599,3.000
08/06/2023 00:01:35.607,3.000
08/06/2023 00:01:36.617,3.000
08/06/2023 00:01:37.625,3.000
08/06/2023 00:01:38.645,3.000
08/06/2023 00:01:39.652,3.000
08/06/2023 00:01:40.663,3.000
08/06/2023 00:01:41.679,3.000
08/06/2023 00:01:42.687,3.000
08/06/2023 00:01:43.709,3.000
08/06/2023 00:01:44.734,3.000
08/06/2023 00:01:45.750,3.000
08/06/2023 00:01:46.772,3.000
08/06/2023 00:01:47.793,3.000
08/06/2023 00:01:48.803,3.000
08/06/2023 00:01:49.810,3.000
08/06/2023 00:01:50.828,3.000
08/06/2023 00:01:51.838,3.000
08/06/2023 00:01:52.860,3.000
08/06/2023 00:01:53.873,3.000
08/06/2023 00:01:54.881,3.000
08/06/2023 00:01:55.890,3.000
08/06/2023 00:01:56.899,3.000
08/06/2023 00:01:57.913,3.000
08/06/2023 00:01:58.921,3.000
08/06/2023 00:01:59.928,3.000
